solution_depth,cases_tested,h1_average_nodes,h1_average_time_ms,h2_average_nodes,h2_average_time_ms
4,11,12.36,0.070,11.82,0.079
6,1,17.00,0.075,17.00,0.086
8,9,50.89,0.222,29.33,0.193
9,1,53.00,0.179,25.00,0.101
10,1,86.00,0.255,31.00,0.124
12,11,243.18,0.763,76.64,0.333
14,4,648.00,1.987,124.25,0.459
16,8,1595.88,5.253,255.88,1.072
18,3,3427.67,10.305,290.00,1.164
19,3,6289.67,20.205,910.67,3.366
20,14,9703.86,31.387,1140.57,4.780
21,5,14936.80,48.967,1461.40,5.616
22,9,21089.56,69.904,1691.44,6.470
23,4,36001.25,119.848,3989.25,15.755
24,6,51901.50,162.131,5053.67,19.592
25,5,76320.80,238.860,6189.00,24.496
26,3,108625.33,360.554,9114.00,37.825
27,2,153093.00,522.999,11733.00,48.524
