solution_depth,cases_tested,h1_average_nodes,h1_average_time_ms,h2_average_nodes,h2_average_time_ms
4,11,12.36,0.045,11.82,0.054
6,2,17.00,0.060,17.00,0.070
8,9,50.89,0.172,29.33,0.129
10,1,86.00,0.250,31.00,0.124
12,9,248.11,0.730,75.22,0.292
14,4,663.25,2.037,147.25,0.592
15,1,910.00,2.524,101.00,0.372
16,7,1555.00,4.921,212.86,0.796
17,3,2680.00,7.891,536.67,1.982
18,6,3760.67,10.799,498.50,1.828
19,1,6480.00,18.872,1000.00,3.989
20,8,9173.50,27.706,1025.00,3.716
21,1,15665.00,45.692,1957.00,7.207
22,11,21890.91,66.541,2760.00,10.303
23,8,35926.50,108.403,3642.12,13.684
24,6,47806.50,146.680,4120.67,15.408
25,2,79122.00,239.522,10118.50,38.275
26,8,106480.00,322.842,9197.62,35.075
27,2,153785.00,469.333,15442.00,58.220
